recency,history,mens,womens,newbie,channel_Phone,channel_Web,zip_code_Surburban,zip_code_Urban,actual_treatment,actual_conversion,uplift_score,plain_response_score
8,80.99,1,0,0,True,False,True,False,1,0,0.0,0.0
6,122.57,0,1,1,True,False,False,True,1,0,0.0,0.0
1,241.94,1,1,0,False,True,True,False,1,0,0.0033333333333333335,0.0
9,285.09,1,0,0,False,True,False,False,1,0,0.0033333333333333335,0.0
5,160.49,1,0,1,True,False,False,True,1,0,0.0,0.0
9,258.66,0,1,0,True,False,True,False,1,0,0.0,0.0
3,581.07,0,1,1,True,False,True,False,1,0,0.0,0.0033333333333333335
4,123.9,0,1,0,True,False,True,False,0,0,0.0,0.0
10,180.8,0,1,0,False,True,True,False,0,0,0.0,0.0
7,164.46,1,0,0,False,True,False,True,1,0,0.023333333333333334,0.01
6,32.65,0,1,0,False,True,True,False,1,0,0.0,0.0
2,29.99,1,0,1,True,False,True,False,1,0,0.0,0.0
1,947.34,1,0,1,True,False,False,True,1,0,-0.5633333333333334,0.54
3,37.38,1,0,0,False,True,True,False,1,0,0.0033333333333333335,0.0
6,209.47,0,1,1,False,False,False,True,1,0,0.0,0.0
1,87.19,1,0,1,True,False,True,False,0,0,0.0,0.0
6,386.52,0,1,0,False,False,False,True,0,0,0.0,0.0
5,34.05,0,1,0,False,True,False,True,1,0,0.0033333333333333335,0.0
8,30.2,0,1,0,False,True,True,False,1,0,0.0,0.0
2,33.54,0,1,1,True,False,True,False,0,0,0.0,0.0
2,41.44,1,0,0,True,False,False,True,1,0,0.0,0.0
3,69.66,1,0,1,False,True,False,True,1,0,0.0,0.0
8,201.5,1,0,1,True,False,False,True,0,0,0.0,0.0
4,29.99,0,1,1,False,True,False,True,1,0,0.0,0.0
2,70.94,1,0,0,False,True,False,True,1,0,0.01,0.0
2,400.21,0,1,1,True,False,False,True,1,0,0.016666666666666666,0.01
6,40.67,1,0,1,False,True,False,True,1,0,0.0033333333333333335,0.0
8,191.07,0,1,0,True,False,False,True,1,0,0.0,0.0
5,293.83,1,0,1,True,False,True,False,1,0,-0.06,0.0033333333333333335
4,30.69,0,1,1,True,False,True,False,1,0,0.0,0.0
7,160.48,1,0,0,False,True,False,False,1,0,-0.0033333333333333335,0.0
10,150.07,0,1,0,True,False,True,False,1,0,0.0033333333333333335,0.0
3,178.68,1,0,0,True,False,True,False,1,0,0.04666666666666667,0.023333333333333334
1,1422.83,0,1,1,False,True,False,True,1,0,0.0033333333333333335,0.0
6,145.64,0,1,0,False,True,False,True,1,0,0.0,0.0
2,29.99,1,0,0,True,False,False,False,0,0,-0.006524158254711795,0.0
1,31.06,1,0,0,True,False,False,False,0,0,0.0,0.0
1,525.05,1,0,1,False,False,True,False,1,0,0.013333333333333332,0.0
2,225.41,0,1,0,True,False,False,True,0,0,0.0,0.0
7,229.83,0,1,0,False,True,False,True,1,0,0.0,0.0
4,69.08,0,1,0,True,False,False,True,1,0,0.0,0.0
9,385.96,0,1,1,True,False,False,True,0,0,0.0,0.0
7,187.81,1,0,0,True,False,True,False,0,0,0.0,0.0
2,117.51,1,0,1,False,True,False,False,1,0,0.016666666666666666,0.0
10,140.65,0,1,1,True,False,True,False,1,0,0.0,0.0
6,36.64,1,0,0,False,True,True,False,1,0,0.0,0.0
4,427.49,0,1,0,False,False,True,False,1,0,0.02666666666666667,0.01
1,156.77,0,1,0,False,True,False,False,0,0,-0.01,0.0
12,328.31,0,1,0,True,False,False,True,0,0,0.0,0.0
1,100.01,1,0,0,True,False,True,False,1,0,0.0,0.0
9,405.58,1,1,0,False,False,False,True,1,0,0.006666666666666667,0.0033333333333333335
6,169.5,0,1,0,False,True,True,False,1,0,0.13333333333333333,0.08333333333333333
1,419.87,1,1,0,True,False,False,True,1,0,0.0,0.0
1,196.72,1,0,1,True,False,False,True,1,0,0.0,0.0
9,140.6,0,1,0,False,True,False,True,1,0,0.0,0.0
11,59.57,0,1,0,True,False,True,False,1,0,0.0,0.0
11,41.05,1,0,1,False,True,True,False,1,0,0.0033333333333333335,0.0
11,152.6,0,1,1,False,True,False,False,1,1,0.0,0.0
11,65.09,1,0,0,True,False,False,True,0,0,0.0,0.0
9,49.92,1,0,1,True,False,True,False,1,0,0.0,0.0
3,223.81,1,1,1,False,True,True,False,1,0,0.016666666666666666,0.03333333333333333
6,258.14,0,1,0,True,False,True,False,1,0,0.0033333333333333335,0.0
10,145.21,1,0,1,True,False,True,False,1,0,0.0,0.0
10,29.99,1,0,0,True,False,True,False,0,0,0.0,0.0
1,247.02,0,1,0,False,False,False,True,0,0,0.15333333333333332,0.12
8,152.93,1,0,0,True,False,False,False,1,0,0.0,0.0
2,200.68,1,0,0,True,False,True,False,1,0,0.0,0.0
5,753.55,0,1,1,False,True,True,False,0,0,0.0,0.0
2,119.61,1,0,1,True,False,True,False,1,0,-0.0033333333333333335,0.0
5,226.84,0,1,1,False,False,True,False,0,0,0.0,0.0
5,205.12,1,1,0,True,False,False,True,1,0,0.0,0.0
1,443.62,0,1,0,False,True,False,True,1,0,0.0,0.0
3,112.79,0,1,1,True,False,False,False,0,0,0.0033333333333333335,0.0
9,77.89,1,0,1,False,True,False,True,1,0,0.0,0.0
10,293.55,0,1,0,True,False,True,False,0,0,0.0,0.0
10,257.18,1,1,0,True,False,False,True,1,0,0.0,0.0
5,253.43,1,0,0,False,True,True,False,1,0,0.013333333333333334,0.02666666666666667
2,187.29,0,1,1,False,True,True,False,1,0,0.0,0.0
12,87.2,0,1,0,True,False,True,False,0,0,0.0,0.0
7,535.16,1,1,1,True,False,False,True,0,0,-0.01,0.0
6,382.11,0,1,0,False,True,True,False,0,0,-0.02,0.0033333333333333335
6,51.2,1,0,0,True,False,False,False,0,0,0.0,0.0
3,1118.27,1,1,1,False,False,True,False,1,0,0.0,0.0
2,198.78,1,0,0,True,False,False,False,0,0,0.0,0.0
1,335.55,1,0,1,True,False,True,False,1,0,0.0,0.0
8,29.99,1,0,0,False,True,False,True,1,0,0.0,0.0
9,272.18,1,0,0,True,False,True,False,1,0,-0.04,0.0033333333333333335
5,74.02,1,0,0,True,False,False,True,1,0,0.0,0.0
2,77.85,1,0,0,True,False,True,False,0,0,0.0,0.0
1,122.13,0,1,0,True,False,False,False,1,0,0.0,0.0
3,275.36,1,1,0,False,False,True,False,1,0,0.0,0.0
5,614.29,0,1,1,True,False,True,False,0,0,-0.0033333333333333335,0.0
6,246.66,1,0,1,False,True,False,True,1,0,0.0033333333333333335,0.0
7,449.62,0,1,0,False,False,False,True,1,0,0.0,0.0
8,238.13,1,0,0,False,False,True,False,1,0,0.0,0.0
6,55.09,0,1,0,True,False,True,False,1,0,0.0,0.0
10,29.99,0,1,1,True,False,True,False,1,0,0.0,0.0
6,66.16,1,0,1,True,False,True,False,1,0,0.0,0.0
4,183.38,0,1,0,True,False,False,True,0,0,0.0033333333333333335,0.0
11,160.47,0,1,0,False,True,True,False,1,0,0.0,0.0
2,146.18,0,1,0,False,True,False,True,1,0,0.0,0.0
11,29.99,1,0,1,True,False,True,False,1,0,0.0,0.0
9,171.53,1,0,0,False,True,True,False,0,0,0.0,0.0
